,ReportRegion,TOTAL MANGROVE AREA(HA),MANGROVE AREA PROTECTED(HA),PERCENT PROTECTED,MANGROVE AREA PROTECTED(km2),TOTAL MANGROVE AREA(km2)
0,Australia_NewZealand,1046688.9529055188,496179.0,47.4046275756183,4961.79,10466.889529055188
1,East_Asia,22774.952818618887,2321.0,10.19102001433147,23.21,227.74952818618888
2,East_Southern_Africa,763640.1947094265,326374.0,42.73923796326474,3263.74,7636.401947094265
3,Middle_East,28538.754309649863,12828.0,44.949404100873615,128.28,285.38754309649863
4,North_Central_America_Caribbean,2282695.0092489417,1525607.375,66.83360540144866,15256.07375,22826.950092489416
5,PacificIslands,605123.0801919061,59013.0,9.752230898428941,590.13,6051.2308019190605
6,South_America,2037809.8075677622,1461086.0,71.69884032229122,14610.86,20378.098075677623
7,South_Asia,954930.6867955264,502592.0,52.63125449309359,5025.92,9549.306867955263
8,Southeast_Asia,4822225.111000964,1067725.0,22.141749408674308,10677.25,48222.251110009645
9,West_Central_Africa,2171472.546996561,674995.0,31.08466652887733,6749.95,21714.725469965608
